BGM,会話
……二人組になれなかった4人……,"椿君新聞係の仕事はどうすっごい楽しい子供の頃の僕は
とにかく よくしゃべるし 落ち着きがない しじっと座ってられない子だった
 椿君はとても活発でおしゃべりで個性的なお子さんです ありがとうございます 落ち着きも 協調性もないという意味です
 ごめんなさいお家ではどんな様子ですか ごめんなさい いい子にしてて 僕はいい子じゃなかった
 なんで先生 なんでだめなのちょっとの時間座って静かにしてられるかな
 学年が上がると自然と個性的 を隠せるようになった
 返事と相槌しかできなくなった親や先生はまた心配をした 今度は友達に会わせるだけの 一人で何もできない僕を心配した あれくん 宿題 集めて
 職員室に持ってきてもらえわかりました 椿 その前に宿題見せて 分かった一人で大丈夫にならなきゃ
 はいこれ イントロに乗せる書類 ねわかりました 大丈夫です 16時からの会議 セッティング よろしくね わかりました
 いい子じゃないけど個性的だった僕は 無個性のいい人になった
 それはいいことなんだろうか
 好きな人との人間関係は 2パターンで好かれる努力をするか 嫌われない配慮をするか のどちらかしかない
 ありがとう これで 多分全部ごめん すみれのもの こっちから連絡したり送ったりすればよかった ごめん
急に来てごめんね 帰るね
 ごめん以外 言いたいことないの
 駅まで送るかこれ返すね
 一人で帰るね バイバイ"
【オクサマ】 と書いたアイスの棒,"止め方じゃなくなって 解き方 考えようよ ドラえもんが見せて
 じゃあ 点 P って A から1秒で1センチずつ進むでしょ
 え お帰りなさい ただいま え 待ってたんですか いつから
全然です3分前とかでしょ 早食いなのかな
 なんかごめんね 昨日からまた出勤で来る前に連絡くれれば
交換してないですね"
いちばんすきな花,"よかったは
はーい 黒崎くん
 今大丈夫なんかよーとかじゃないんだけどちょっと耳貸して欲しくて別に何もないんだけど何かあった
今 アトリエ お腹減ってる牛丼とか買ってこっか
 よかった黒崎くんいて あわせてもらえたから
 余っててよかった
 ガチじゃん ガチです 椿さんガチとか言うんですね 多分今初めて言った 思わず言っちゃった
 なんか甘いもの食べたいなアイス あるよ 失礼します
 ないです 買ったばっかり食べたいアイスがないです ごめん いや ごめんなさい
 買いに行きませんか2人で行こうか コンビニ行ってくるよ"
いちばんすきな花-4人のひとりたち-,"あバス
 ヒール履いてる時に限って走ることにねなりがち 今日2回目の
 ダッシュです こう見えて グループからハブられないように 必死だったんです どう見えてるかわかんないけどそっか
 交換ノート 回ってきた日の夜にいっぱい書いて翌日には
 次の子に渡してでもみんな思ってたんですって よ よがすぐノート 回す
 の圧力だなーって圧力 私 グループの中心的な感じだったんですよ 自覚も希望もしてなかったけど
 嫌われたくなかっただけなんですけどね
 男の子にも こういうのあったのかな 交換 ノート的なのですか 仲良し 儀式的な 今度
あの二人に聞いてみますか 聞いてみようかなんか2人とも別角度で強いトラブル
 ありがとう
 片付けこれ忘れてきますね 忘れ物です
 分かったいいんですか じゃあ 忘れ物取りにまた来ます あの二人
 誘ってきます お邪魔しました 気をつけて"
うつむき加減,"得意な教科は数学です 私も
 数学
 忘れ物を届けに来ました 忘れ物 忘れ物です 白いものですよね
 忘れ物です ゴミ箱からの拾い物ですよね
 美容院の忘れ物です 彼は何で公園であって名前聞いて ブランコ乗って2人 気まずいですね ってなって
2人じゃなくなるには
 3人になればいいと思いましてはじめまして では2度目 始めまして 3度目"
こぼれ落ちちゃったんだ、私たち,"懐かしい 見たい 見たい あできた本当だ
 楽しかったよね 何も悩みとかなくてさ この4人のグループが一番好きだった 私も平和だったよね わかる 報告
はいつも何を頑張っていたのか みんなと同じ感情になれないのは怖い
誰と一緒にいても私の感情だけはいつも一人だった"
しょうもないけど、好きだから,"椿さん 好きな食べ物 何ですか オムライス
 椿さんに聞いてます カレー 椿さんお酒は何が好きですか ほろ酔い 郁恵さん3人のグループ 作りますね 殿 3人
 お願いします やめて ごめんなさい 椿さんいないね 椿さん
 椿さん梨梨 梨が好きなんですか 梨 向い て て ちょっと待ってください 椿さん 椿さん ちょっと待って"
ひとりぼっち,"最近
仲良くなった子達やろだってこんた時その時までは
 今までのよりをやっても こういうのはたいがい 周りが悪いじゃけ
 友達 はちゃーんと選ばな すごい
 ごめん出かけてくる友達にご飯誘われた けんご飯って良いよ あんた 昨日も友達とご飯行ってママの言葉 ほったらかしにしとったやろ
 昨日は先約やけん 許したけど今のは今
 誘われたんやろやのにそっちに行くとね でも友達やけんって 他人やママは母親やろ
 他人優先すると 他人やけど
 ママは母親ってだけよ 産んだって だけ お気に入りのお人形を産んで
 それで遊んどるだけ"
一人で大丈夫にならなきゃ,"3人おる 時点でもう家計は厳しかった けんね でもそれでも
 どうしても女の子が欲しくてで最後の最後のチャンスに よよが生まれてくれたけ ありがとね
 女の子に生まれてくれて産んでくれてありがとう"
学校嫌いです。,"廃墟に気配りを勉強ができるとかお金持ってるとかそんなの大して 大事じゃねえんだ
 って知ってるって お疲れ様
 お疲れ様です ありがとうございましたスマホ
 佐藤さんってさ シフト すぐ変わってくれるとほんとほんとほんとほんとほんとこの前なんてさ
 1時間前なのに代わってくれて暇なんだねちゃんとあのイラストとか褒めて 夢を追いかけてんのかっこいいっすね みたいな 褒めるとめっちゃ
 働いてくれるからとりあえず褒めとくわああいう人って害ないしないい人っていうか調子がいい人
 それだ やっぱスマホスマホスマホスマホスマホスマホあ これすか それだ ありがとう
 佐藤さん インスタ 見ました めっちゃうまいですね ありがとう今度 似顔絵書くよ"
好かれる努力,"可愛い
紅葉くん 絵描きさんだったんだね イラストレーターです 同じか これ しつつ コンビニでバイトしつつ
 それだけじゃ食えないんでごめんね 口癖 好きなこと
 仕事にするのはみたいな なんか偉そうなこと言っちゃって影を継ぐのは また 話 違うと思いますし 俺の
 これは才能ないのが悪いんで才能とかわかんないけど好きだな"
好きな人の、一番好きな花,"わかりました
 結婚するの森中くんとしないよ 付き合ってもないよ
 もともとは本当に友達でも1回 そういう関係になっちゃってそういうのあるのに
 椿君と結婚できないなって思ってって言ったじゃん 言われてないな 言ってなかったか言ってなかったとしてもそうなの そうなんだ
 うん つばきくんには嘘つきたくないし そっか
 私が言っちゃだめなのわかってるけど 結果 良かった 結婚しちゃわないで良かった 一生 椿くんの感情を奪うとこだった
すみれ 本当に恋に純粋だったね 純粋すぎるのも 人を傷つけるんだね
恋愛で全員幸せになるなんて不可能ですよね 2人組 だもん 誰が始めた え 俺じゃない アダム トイプ
 あいつらか 友達なの あ 聞きそびれたあの人たち 誰
 友達 そっかだよね なんか良かった 楽しく喋れる相手 気使わない
相手いるみたいで椿君の友達の話 全然聞いたことなかったもんね
 傷み始めてるかな 多分明日には枯れる 明日には枯れる ごめんありがとう もらうね
 今日だけ見てる
 今日だけ明日からはまた
 お互い
 切り替えて明日からまた お邪魔しました"
小さな花束,"いらっしゃいませ
 ガーベラ 好きなの好きです
 好きな人の一番好きな花です いい理由 贈り物 ちっちゃめの花束とかって はいはい
 届けるお家って遠いの桜新町のはずです 桜新町 お姉さん
 ちょっと負けるからお使い 頼んでもいい おつかい"
届くまでに変換されちゃう,"傷つきはするでしょう
 傷つけられるのに慣れても傷つかなくなるって事はないでしょう
 届くまでに変換されちゃうんだよ 何それ
 悩みとか不満とか話して相手に届くまでに返還されちゃうの
 嫌味とか自慢とか女の子には特にね じゃあ聞くよ
 俺 女の子じゃないし"
二人というのは難しい。,"価値観が違うのはどっちかが寄り添うしかないっていうか
 だからごめん
赤田と友達やめたら スタバの新作 誰と飲めばいいの 一人で飲めるでしょ 大人なんだから
髪切った後 服 買った後変じゃないか 誰に聞けばいい 美容師さんとか店員さんに聞きなよ
 新しく買ったスタンプ 試しに送る相手 芸能人の公式のやつとかあるから あいのに送ってちゃんと
 すぐ返信くるし 赤田が女の子なら良かった 赤田が女の子なら
生まれ変わったら女の子になるから そしたら
 また友達になろうね"
友だちならよかった,"必要な区別をしてもらえないって
何よりも 差別ですよ
 コズミくん そこ女子の席だよ 自由席って聞いたけど でも女子の席だから さるとあられるよ
 自由席だから気にしなくていいよ 勝手に いつのまにか こっちが 助詞 で こっちが男子みたいになっててでも関係ないからわかりました
 でも 実際
 いじってくるような子いるから気になるならこっちが座って 別に 隣が良くて座ったんじゃないからいつもここだから ここ座っただけだからいや 女子の席だ
 自由席だから男子とか女子とかいろん 区別してしょうもの
 何でアシスタントに言ってよ ほら みかちゃん 暇そうだよ女の美容師のシャンプー 嫌だって 力弱いから嫌だって言われてる
 お願いします どれ
 そこシャンプー台にいる 待たせしました シャンプー 変わりますね"
