BGM,会話
いちばんすきな花,"早く
じゃなくてもいいでしょ
 何でも奢ってくれるってマジで美味しいです ママ
 お買い物行ってくるけんね お人形さんで遊んだキー
2人組作れましたか
 お互いのいいところを伝えあってみましょう 優しい いっぱい 見つけてあげよう
 昔から2人組を作るのが苦手だったハンバーグの
食べる どっちえこれ昔から2人組にさせてもらえなかった
昔から1対1で人と向き合うのが怖かった"
好かれる努力,"何 彼氏 友達です すいません そうなの
んはい
 Excel が足し算にならないよ はいはいはい 椿さん結婚するっていう春樹さんね それだ
 いつもどっちかわかんなくなる どっちも 名前 みたい すいません 今の時間とかで大丈夫です
 ちょっといいじゃん 歩き さんわかるわかる この前 ご飯誘ったらお付き合いしてる方がいるので女性と二人で
 お食事には行けませんって断られて 断り方 買った そういう時 その感じがあんなにはいいよ 旦那にはいいもの 選ぶなら あれ
 つまんなそうだけどね わかるわかる 矢印がぐるぐるしてるよ"
学校嫌いです。,"学校嫌いです 同じくらい 花屋も嫌いです お花を選ばれて買われていきますしね
 花束とかね
 勝手にグループ作られちゃったりして同じですね お待たせしました これ 1000円でスタンプ1つなの ってどうしました
 もしかして私 ずっと下の名前で呼んでました 呼ばれてました お店のコンセプトかなんて 予約表を見た時に
 椿さんって先に目に入って勘違いしてすみません 全然よく逆だと思われるんでもしよかったら次回 これ使ってください
 次回また来ます はい 行きます"
届くまでに変換されちゃう,"傷つきはするでしょう
 傷つけられるのに慣れても傷つかなくなるって事はないでしょう
 届くまでに変換されちゃうんだよ 何それ
 悩みとか不満とか話して相手に届くまでに返還されちゃうの
 嫌味とか自慢とか女の子には特にね じゃあ聞くよ
 俺 女の子じゃないし"
二人というのは難しい。,"価値観が違うのはどっちかが寄り添うしかないっていうか
 だからごめん
赤田と友達やめたら スタバの新作 誰と飲めばいいの 一人で飲めるでしょ 大人なんだから
髪切った後 服 買った後変じゃないか 誰に聞けばいい 美容師さんとか店員さんに聞きなよ
 新しく買ったスタンプ 試しに送る相手 芸能人の公式のやつとかあるから あいのに送ってちゃんと
 すぐ返信くるし 赤田が女の子なら良かった 赤田が女の子なら
生まれ変わったら女の子になるから そしたら
 また友達になろうね"
友だちならよかった,"ごめんなさい 本当にごめんなさい
 つばきくん とも 椿君とも友達なら良かった
友達なら3人でもいいのにね
 恋愛って2人組を作る作業でしょ ごめんね 苦手なんだ 2人組
 大丈夫 俺も苦手だから 2人組
 一緒だね
 俺のこと好きだった いいなって思ってたよ
ほんとにいい人だなぁって
そっか うん バイバイ"
いちばんすきな花-4人のひとりたち-,"40
9号室 2名様 5時間ですね 一人です 来る予定だった人 来なくて来たけど歌ってなくて
 歌っていなくてもご入室されたのであればご 入室してないです 扉の外で こうやってこの状態で話しただけで1分も入ってません
 こうやってこの状態で話しただけで1分も入ってません2人きりになってません2人です 2人分払います すいません二人 というのは難しい
 あらゆる人数の中で2人というのは特殊で二人である人達には理由や意味が必要になる 二人は一人より残酷
 一人だった時より確実に孤独な一人になる二人は強いに決まってる 辰 塗りになりたい カタツムリになりたい
 一人の人間は二人の人間がいないと生まれない
 逆に3人以上の複数人というのは一人の集合体
 でしかないグループなのに一人になってるじゃないですか
 個々の価値は間違いなく 二人の時が一番強い"
小さな花束,"いらっしゃいませ
 ガーベラ 好きなの好きです
 好きな人の一番好きな花です いい理由 贈り物 ちっちゃめの花束とかって はいはい
 届けるお家って遠いの桜新町のはずです 桜新町 お姉さん
 ちょっと負けるからお使い 頼んでもいい おつかい"
こぼれ落ちちゃったんだ、私たち,"すいません なんかちょっと 話 違うか 違いますね あれ 怖いですよね
 いつも必死でした 仲良しグループが奇数の時の心理 合戦で 寿命 だいぶ 縮んだと思います
 もみじはね 関係ないね この子 幼なじみで昔から 誰とでも仲良くなれて 全人類 友達で
ね 縁のない話だね うん ないんだよ
 2人組 大人数でワイワイ楽しく
 薄っぺらい話する友達はいっぱいいるけど2人ってなると嫌われてるわけじゃないけど でも誰も好んで自分のことを選ばないし
 興味すら持たれないからいじめられもしないしいてもいなくても同じでいると便利な時だけ使われる 別にいいんですけどね 同窓会の感じしてればみんなと友達でいられるんで
嫌でも興味持たれているだけで目立ってみたいですか 小5だったかな
 一番仲良しだと思ってた女の子にペアになろって声かけたらもう引き立て役 やりたくないって断られたことあります 一人で残っちゃうの
 嫌で自分のこと好きってわかってる男の子に絶対断られない子にこっちから声かけて ペアになってもらいました
女の子たちがこっち見て 何か言ってて聞こえないけど何言ってるかわかるやつでした
 何度もあります 昔からそうなんですよね
 みんなのいい人にはなれるのに誰か一人の一番好きな人にはなれなくて"
いちばんすきな花,"小学校も中学校も 高校 もとにかく全部頑張っ
た ちゃんと勉強してちゃんと先生の言うことを守って
 ちゃんと友達と仲良くしたちゃんと笑って 相槌を打って褒めて遊んで宿題を見せて
 友達の好きな男の子は恋愛対象外にしたちゃんと嫌われないよう配慮したあんなに頑張って仲良くしてたのに大人になった今
 あの頃の友達がどこで何をしているかわからない"
